name,rating,review_count
Jinn & Joy,5.0,4
Pizzeria Rosso,5.0,4
Steakownia,5.0,1
Pastelowa,5.0,1
Mazal Tov,5.0,1
Himalaya Multi cuisine,5.0,1
Halka,4.9,9
Stolica,4.9,7
Restauracja Polska Różana,4.8,67
Shoku,4.8,16
