category,average rating
Bakeries,5.0
Bars,4.2
Breakfast & Brunch,4.7
Burgers,4.2
Cafes,4.4
Chinese,4.8
Gastropubs,4.1
Georgian,4.5
Indian,5.0
Italian,4.7
Japanese,4.8
Jewish,4.5
Korean,4.4
Mediterranean,4.6
Mexican,3.8
Middle Eastern,4.3
Modern European,4.6
Pierogis,4.8
Pizza,4.5
Polish,4.6
Pubs,4.7
Sports Bars,4.0
Steakhouses,4.8
Sushi Bars,4.3
Thai,4.5
